FID1 IID1 FID2 IID2 HetHet IBS0 KINSHIP
0 1614378 0 2216254 0.068 1e-04 0.25
0 1333622 0 2933605 0.046 0.0143 0.0604
0 6001051 0 4832558 0.079 0.0049 0.2578
0 2226448 0 3270470 0.041 0.0137 0.0466
0 2863578 0 3656202 0.045 0.0159 0.0464
0 3538266 0 2634530 0.044 0.0149 0.0514
0 2707676 0 2509806 0.083 0.0037 0.2803
0 1603713 0 2874066 0.055 0.0112 0.1177
0 3998151 0 1071033 0.045 0.0149 0.0565
0 3773510 0 5528801 0.045 0.0148 0.0528
0 3635287 0 2134027 0.072 0.0053 0.2285
0 4782998 0 3194041 0.044 0.0153 0.0498
0 5326687 0 3907811 0.081 0.0045 0.2688
